time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-7.94471160454e-08,6.25840139765e-07,10.0022360821,0.000523595653578,9.4120533916e-05,0.0,-7.43969983977e-06,5.0581262084e-05,0.074533461243,0.0221073472435,0.00453488172874,0.0,429.07139165610766,429.456113178168,427.28252359157705,429.1626661830172
0.12000000000000001,-3.25183971186e-06,1.87366824898e-05,10.0078393826,0.00239529080102,0.000381374871739,0.0,-0.000124260309233,0.000705535939782,0.112239710252,0.0450000574406,0.00528824666111,0.0,417.15056524763116,417.21624916551497,415.1675353622618,417.1713263585394
0.18,-2.07188296386e-05,0.000126136094703,10.0193697144,0.0046762807774,0.000828141823474,0.0,-0.000500669670836,0.0031572625925,0.272078478932,0.017960801416,0.011445990133,0.0,456.1837926026346,456.67503241286715,455.68465496732574,453.51901808763296
0.23999999999999996,-7.38165787672e-05,0.000434457006199,10.0422437471,0.00632651419976,0.00119129937486,0.0,-0.00133563711388,0.00728845975079,0.490319701421,0.0418372285102,-0.00783164374769,0.0,473.78569295400325,472.3014001881052,472.11772499992867,473.9561809931545
0.3,-0.000176791735931,0.00100859989087,10.0741543708,0.00882685359563,0.00121353981818,0.0,-0.00207819246115,0.0120986267104,0.57332747197,0.0413405503024,0.0131185450252,0.0,431.2837370823247,433.04934203864076,431.3469162532655,431.30596512510454
0.36000000000000004,-0.000335170706469,0.00196485888975,10.1157031616,0.0112809168956,0.00164116664673,0.0,-0.00328024982494,0.0200775332689,0.811490401902,0.0400074935438,-0.00889453213072,0.0,480.17416612450324,478.5014878337278,478.95389776030396,478.85326330450704
0.4200000000000001,-0.000567749894842,0.00343206123931,10.1691276988,0.0133148038698,0.00191062695674,0.0,-0.00446687685346,0.0290775664776,0.969203640595,0.0174371343162,0.0228600859371,0.0,455.5788645530285,458.1104873456638,455.15054017416867,453.3412373952619
0.48000000000000015,-0.000889955657773,0.00551416375157,10.2345957469,0.014440552553,0.0034029770377,0.0,-0.00644968415004,0.0404567445477,1.21283591423,0.0212893269567,0.028620354192,0.0,481.057723621386,481.49369761000366,481.1729269940194,481.46434792942097
0.5400000000000001,-0.0013641791585,0.00828593659119,10.3131744291,0.0153763819865,0.00499760684531,0.0,-0.00954916977537,0.0520646723246,1.40623275961,0.000670452006603,0.0221416020119,0.0,467.5638511698971,467.0590044793959,467.6418718771732,466.0330930814181
0.6000000000000002,-0.00206899532144,0.0117937241626,10.4047882959,0.0159972841138,0.00710112805798,0.0,-0.014163606538,0.0649031613369,1.64724506575,0.0248374829559,0.0529693486996,0.0,480.5231407092682,482.8545764049638,480.39508281776324,482.2238452070756
0.6600000000000003,-0.00311707148683,0.0161072408785,10.5117385641,0.017416863083,0.0103304908148,0.0,-0.0211765731967,0.0790589745426,1.91734429213,0.0211936045908,0.0554764269926,0.0,491.3832423677316,491.5706565523319,489.6392973693911,489.3681629851507
0.7200000000000003,-0.00462856121964,0.0212384034729,10.6310885442,0.0184717085237,0.0139872956431,0.0,-0.0295843182296,0.0921025821427,2.06073366824,0.00914599855677,0.0701007906383,0.0,453.76382737834416,454.9387480850019,454.20496444329825,453.2377156915315
0.7800000000000004,-0.00674146754071,0.0271896597663,10.7599552678,0.0192142939421,0.0180657635997,0.0,-0.0413092543896,0.106339906735,2.23449119442,0.018160083074,0.0633436177739,0.0,463.6414924265146,463.11358803276073,463.84774958587326,464.5549405584268
0.8400000000000004,-0.00962792715093,0.0339923122066,10.8980942271,0.0207245886191,0.0215035587725,0.0,-0.0552935031374,0.120551862731,2.36985843468,0.0364158162694,0.0410767571524,0.0,453.1903054764291,451.39915831462275,452.6259001653632,454.0927529793736
0.9000000000000005,-0.0133611809659,0.0416249893858,11.0415487521,0.022794416942,0.0239383101782,0.0,-0.0693752384443,0.134067499486,2.41186029604,0.0303544974695,0.0395652925257,0.0,423.8782230494867,423.7492598557653,423.9735952314557,423.4530734821051
0.9600000000000005,-0.0180127213804,0.0501325485329,11.1886489253,0.0245927259229,0.0264292559722,0.0,-0.085912958265,0.149692465607,2.4912967738,0.0291953939931,0.0451552703294,0.0,435.98018038529443,436.4479200501169,436.06502203305615,435.9684908452881
1.0200000000000005,-0.0237676634951,0.0596686642672,11.3427324649,0.0263916060599,0.0293603206702,0.0,-0.106220062393,0.168363939664,2.64446345408,0.0315083711424,0.055370758289,0.0,459.6163525754926,460.4266141360867,458.8043714334251,458.9882219008047
1.0800000000000005,-0.0307084914999,0.0702756724658,11.5026362715,0.0285050187671,0.0333801613677,0.0,-0.125486727571,0.185387187495,2.6855487636,0.0417741581038,0.0836003968307,0.0,422.9763575346967,425.40390181474004,425.14126198556335,426.0205261877923
1.1400000000000006,-0.0389009102156,0.0819580828663,11.6654250329,0.0310346534827,0.0383815165814,0.0,-0.148067072416,0.204261703299,2.74058472808,0.0429222177536,0.0828627539101,0.0,429.1045272032881,429.0478445139394,430.28241392793694,430.3806210618476
1.2000000000000006,-0.0486295062805,0.0948901319573,11.8336689337,0.0331090311775,0.0430033518046,0.0,-0.17671953906,0.227052877024,2.86720176755,0.00731051163122,0.0616107689044,0.0,454.105247864198,452.40173324185173,453.56070829403194,450.6919930361782
1.2600000000000007,-0.0600169660626,0.109107547006,12.0059498166,0.0339763162875,0.0474666728826,0.0,-0.203229454398,0.24691884492,2.87544978365,0.0258718196353,0.0921574520264,0.0,414.8550121940437,417.5330385136959,413.6950222468753,415.32612352442356
